Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
130764-78,11-07-2023,For Sale,Apartment,Daire,4 + 1,210 m2,7. Floor,New Property,Central,14 Storey,Available,Not Furnished,2,Masonry,0,Empty,Condominium,250 TRY,,"South, East",7.500 TRY,Gas,Yes,Kayseri,Kocasinan,Yakut,"
                    2.900.000 TRY
                  "
126474-418,24-07-2023,For Sale,Apartment,,3 + 1,165 m2,3. Floor,5 at Age,Central,13 Storey,Available,Not Furnished,2,,,Empty,Condominium,250 TRY,No,"North, East, West",,,,Kayseri,Melikgazi,Şirintepe,"
                    1.395.000 TRY
                  "
131071-216,01-08-2023,For Sale,Detached House,Müstakil Ev,3 + 1,2 m2,,15 at Age,Heating Stove,1 Storey,Available,,1,Reinforced Concrete,,,Land,1 TRY,No,,2.500 TRY,Coal-Wood,Yes,Kayseri,Melikgazi,Fatih,"
                    1.450.000 TRY
                  "
137456-34,23-07-2023,For Sale,Apartment,Daire,4 + 1,280 m2,Middle Floor,New Property,Combi Boiler,14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, East, West",,Gas,Yes,Kayseri,Melikgazi,Gültepe,"
                    9.500.000 TRY
                  "
132875-391,29-07-2023,For Sale,Villa,Dubleks,3 + 1,165 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",,Gas,Yes,Kayseri,Kocasinan,Ertuğrul Gazi,"
                    4.500.000 TRY
                  "
138146-14,27-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,6. Floor,8 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,800 TRY,No,South,7.000 TRY,Gas,Yes,Kayseri,Melikgazi,Köşk,"
                    2.550.000 TRY
                  "
124673-163,03-08-2023,For Sale,Villa,,3 + 1,200 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Altınoluk,"
                    7.650.000 TRY
                  "
124851-192,20-07-2023,For Sale,Apartment,Daire,2 + 1,140 m2,6. Floor,1 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Owner,Condominium,150 TRY,No,North,4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.430.000 TRY
                  "
136079-178,03-08-2023,For Sale,Apartment,,3 + 1,130 m2,9. Floor,12 at Age,Combi Boiler,9 Storey,Available,Not Furnished,1,,,Empty,Condominium,,,"North, West",,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    1.150.000 TRY
                  "
124851-197,27-07-2023,For Sale,Apartment,,3 + 1,190 m2,4. Floor,3 at Age,Central Heating (Share Meter),10 Storey,Not Available,Not Furnished,2,,,Owner,Condominium,,No,"South, West",,,,Kayseri,Melikgazi,Köşk,"
                    3.560.000 TRY
                  "
128830-333,17-07-2023,For Sale,Apartment,,3 + 1,150 m2,3. Floor,New Property,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,,,,,Kayseri,Talas,Yenidoğan,"
                    2.150.000 TRY
                  "
132363-577,05-07-2023,For Sale,Apartment,,3 + 1,215 m2,1. Floor,26 at Age,Central,11 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,West,,,,Kayseri,Kocasinan,Sahabiye,"
                    1.850.000 TRY
                  "
133669-125,06-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,10. Floor,3 at Age,Central,14 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,100 TRY,No,"South, West",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Esenyurt,"
                    2.100.000 TRY
                  "
133756-177,15-07-2023,For Sale,Apartment,,4 + 1,210 m2,8. Floor,5 at Age,Underfloor Heating,8 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,380 TRY,No,"South, East",,,,Kayseri,Kocasinan,Yakut,"
                    2.325.000 TRY
                  "
125331-381,05-08-2023,For Sale,Apartment,Daire,3 + 1,170 m2,10. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, West",6.000 TRY,Gas,Yes,Kayseri,Melikgazi,Şirintepe,"
                    1.650.000 TRY
                  "
125140-1060,06-08-2023,For Sale,Apartment,Daire,3 + 1,155 m2,5. Floor,18 at Age,Central,12 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Floor Easement,,No,"North, West",,Gas,Yes,Kayseri,Kocasinan,Yavuzlar,"
                    850.000 TRY
                  "
131390-171,27-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,13. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,0,Empty,,1 TRY,No,"North, South, East",7.500 TRY,Gas,Yes,Kayseri,Kocasinan,Yunusemre,"
                    1.525.000 TRY
                  "
134967-207,01-08-2023,For Sale,Apartment,,3 + 1,185 m2,1. Floor,16 at Age,Combi Boiler,2 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Battalgazi,"
                    1.050.000 TRY
                  "
130764-92,19-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,8. Floor,20 at Age,Central,9 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, East",3.500 TRY,Gas,Yes,Kayseri,Melikgazi,Tınaztepe,"
                    1.350.000 TRY
                  "
134958-342,01-08-2023,For Sale,Apartment,Daire,2 + 1,85 m2,2. Floor,12 at Age,Central,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, West",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    820.000 TRY
                  "
124629-116,18-07-2023,For Sale,Apartment,,3 + 1,210 m2,1. Floor,20 at Age,Combi Boiler,14 Storey,Not Available,Not Furnished,2,,Second Hand,,Condominium,100 TRY,,"North, West",,Gas,Yes,Kayseri,Melikgazi,Anafartalar,"
                    2.100.000 TRY
                  "
131736-30,10-07-2023,For Sale,Detached House,Müstakil Ev,3 + 1,165 m2,,25 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Feneseyukarı,"
                    800.000 TRY
                  "
129368-159,06-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,8. Floor,New Property,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,300 TRY,No,"South, West",,Gas,Yes,Kayseri,Melikgazi,Gökkent,"
                    1.385.000 TRY
                  "
136683-43,10-07-2023,For Sale,Villa,,4 + 1,250 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Available,Not Furnished,3,,,Empty,,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Altınoluk,"
                    9.000.000 TRY
                  "
131846-761,02-08-2023,For Sale,Apartment,,3 + 1,170 m2,5. Floor,New Property,Central Heating (Share Meter),11 Storey,Not Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, East",,,,Kayseri,Melikgazi,Battalgazi,"
                    1.920.000 TRY
                  "
126474-357,27-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,Raised Ground Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Tenanted,Floor Easement,250 TRY,No,"South, East",5.000 TRY,Gas,Yes,Kayseri,Kocasinan,General Emir,"
                    1.525.000 TRY
                  "
124546-369,28-07-2023,For Sale,Apartment,,3 + 1,175 m2,1. Floor,5 at Age,Central,8 Storey,Available,Not Furnished,1,,,Owner,Condominium,200 TRY,No,"North, West",,,,Kayseri,Kocasinan,Yeşil,"
                    1.325.000 TRY
                  "
134309-193,31-07-2023,For Sale,Apartment,Daire,3 + 1,185 m2,6. Floor,12 at Age,Central,10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,400 TRY,No,"North, East, West",7.500 TRY,Gas,Yes,Kayseri,Melikgazi,Yeniköy,"
                    1.730.000 TRY
                  "
124387-221,17-07-2023,For Sale,Apartment,Daire,4 + 1,170 m2,2. Floor,3 at Age,Combi Boiler,15 Storey,Unknown,Not Furnished,1,,,Tenanted,,,No,,,Gas,Yes,Kayseri,Kocasinan,Beyazşehir,"
                    1.950.000 TRY
                  "
137456-20,14-07-2023,For Sale,Apartment,Daire,5 + 1,265 m2,Middle Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,3,Reinforced Concrete,0,,Condominium,,,"North, South, East, West",,Gas,,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    7.500.000 TRY
                  "
135461-767,24-07-2023,For Sale,Apartment,Daire,3 + 1,137 m2,5. Floor,9 at Age,Combi Boiler,6 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Develi,Mustafa Asım Köksal,"
                    1.385.000 TRY
                  "
128795-451,02-08-2023,For Sale,Villa,Bahçe Dubleksi,4 + 1,220 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    7.000.000 TRY
                  "
131071-233,15-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,2. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,200 TRY,No,"North, South, West",5.000 TRY,Gas,Yes,Kayseri,Melikgazi,Şirintepe,"
                    1.620.000 TRY
                  "
125486-1469,05-08-2023,For Sale,Detached House,,2 + 1,246 m2,Garden Floor,16 at Age,Combi Boiler,4 Storey,Not Available,Not Furnished,4,,,Tenanted,,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Danişmend Gazi,"
                    2.900.000 TRY
                  "
125486-1511,05-08-2023,For Sale,Apartment,,3 + 1,150 m2,Ground,31 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,East,,,,Kayseri,Kocasinan,Yeni,"
                    975.000 TRY
                  "
132875-286,29-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Top Floor,20 at Age,Combi Boiler,4 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, East",,Gas,,Kayseri,Kocasinan,Zümrüt,"
                    1.550.000 TRY
                  "
124546-333,28-07-2023,For Sale,Detached House,Müstakil Ev,2 + 1,676 m2,,11 at Age,Heating Stove,2 Storey,Available,Furnished,1,,,Empty,Condominium,,,"North, South, East, West",,,,Kayseri,Kocasinan,Bayramhacı,"
                    990.000 TRY
                  "
133377-133,01-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,Underground 1,1 at Age,Central,12 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,240 TRY,No,"North, East, West",7.500 TRY,Gas,Yes,Kayseri,Melikgazi,Kazımkarabekir,"
                    1.750.000 TRY
                  "
130764-86,11-07-2023,For Sale,Apartment,Daire,4 + 1,240 m2,1. Floor,12 at Age,Central,14 Storey,Available,Not Furnished,2,,Second Hand,Owner,Condominium,2.000 TRY,No,,8.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gültepe,"
                    3.300.000 TRY
                  "
132722-50,02-08-2023,For Sale,Detached House,,4 + 2,132 m2,,31 at Age,Heating Stove,2 Storey,Available,Furnished,1,,,Owner,Condominium,1 TRY,No,"North, South, East, West",,,,Kayseri,Melikgazi,Hisarcık,"
                    990.000 TRY
                  "
128489-222,21-07-2023,For Sale,Apartment,,4 + 1,200 m2,3. Floor,New Property,Central Heating (Share Meter),8 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South",,,,Kayseri,Kocasinan,Cırgalan,"
                    2.550.000 TRY
                  "
129925-515,24-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,3. Floor,10 at Age,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, East, West",,Gas,Yes,Kayseri,Melikgazi,Şirintepe,"
                    1.350.000 TRY
                  "
138146-7,28-07-2023,For Sale,Apartment,Daire,3 + 1,140 m2,1. Floor,35 at Age,Heating Stove,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, South, East, West",2.000 TRY,Coal-Wood,Yes,Kayseri,Talas,Harman,"
                    1.010.000 TRY
                  "
137804-14,04-08-2023,For Sale,Apartment,Daire,2 + 1,95 m2,2. Floor,New Property,Central Heating (Share Meter),6 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Floor Easement,,No,East,,Gas,Yes,Kayseri,Talas,Kiçiköy,"
                    1.550.000 TRY
                  "
131071-224,05-08-2023,For Sale,Apartment,Daire,3 + 1,200 m2,7. Floor,New Property,Central,9 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,200 TRY,No,,4.500 TRY,Gas,Yes,Kayseri,Melikgazi,Mimarsinan,"
                    1.750.000 TRY
                  "
132355-212,20-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,4. Floor,New Property,Central Heating (Share Meter),11 Storey,Available,,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, East",8.500 TRY,Gas,Yes,Kayseri,Kocasinan,Zümrüt,"
                    2.249.000 TRY
                  "
133669-199,29-06-2023,For Sale,Apartment,Daire,4 + 1,185 m2,5. Floor,New Property,Central,7 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, East, West",7.500 TRY,Gas,Yes,Kayseri,Melikgazi,Esentepe,"
                    3.000.000 TRY
                  "
124673-160,03-08-2023,For Sale,Villa,,3 + 1,350 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,1,,,Empty,Floor Easement,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Kazımkarabekir,"
                    7.650.000 TRY
                  "
124591-3,03-08-2023,For Sale,Apartment,Daire,2 + 1,105 m2,Raised Ground Floor,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",2.000 TRY,Gas,Yes,Kayseri,Develi,Harman,"
                    1.250.000 TRY
                  "
130764-103,05-08-2023,For Sale,Apartment,Bahçe Katı,3 + 1,165 m2,1. Floor,12 at Age,Combi Boiler,13 Storey,Available,Not Furnished,1,Masonry,Second Hand,,Condominium,,No,"North, East, West",,Gas,Yes,Kayseri,Melikgazi,Esenyurt,"
                    1.650.000 TRY
                  "
134950-52,06-08-2023,For Sale,Apartment,Daire,4 + 1,160 m2,Basement,10 at Age,Combi Boiler,5 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Empty,,,,"North, East, West",,Gas,Yes,Kayseri,Develi,Camiicedit,"
                    950.000 TRY
                  "
129368-161,06-07-2023,For Sale,Apartment,Dubleks,7 + 1,350 m2,14. Floor,13 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,450 TRY,No,"North, South, East",15.000 TRY,Gas,Yes,Kayseri,Melikgazi,Alpaslan,"
                    5.250.000 TRY
                  "
131846-770,02-08-2023,For Sale,Apartment,,3 + 1,180 m2,7. Floor,26 at Age,Central,10 Storey,Available,Not Furnished,2,,,Empty,Condominium,280 TRY,No,"South, East, West",,,,Kayseri,Melikgazi,Battalgazi,"
                    1.565.000 TRY
                  "
137456-39,01-08-2023,For Sale,Apartment,Daire,2 + 1,95 m2,5. Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,,,,"North, South, East, West",,Gas,,Kayseri,Talas,Kiçiköy,"
                    1.450.000 TRY
                  "
128470-525,05-08-2023,For Sale,Apartment,,3 + 0,170 m2,6. Floor,New Property,Central,9 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, East",,,,Kayseri,Kocasinan,Şeker,"
                    1.650.000 TRY
                  "
134309-194,31-07-2023,For Sale,Apartment,Daire,2 + 1,90 m2,Ground,11 at Age,Central,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, East",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    795.000 TRY
                  "
131428-45,01-08-2023,For Sale,Detached House,Bahçe Dubleksi,6 + 2,380 m2,,20 at Age,Combi Boiler,2 Storey,Available,Not Furnished,2,Masonry,Second Hand,Owner,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Aydınlıkevler,"
                    6.250.000 TRY
                  "
130207-96,05-08-2023,For Sale,Apartment,Daire,2 + 1,100 m2,Raised Ground Floor,New Property,Combi Boiler,4 Storey,Unknown,Not Furnished,1,Steel,0,Empty,Condominium,,No,,3.000 TRY,Gas,Yes,Kayseri,Develi,Reşadiye,"
                    1.200.000 TRY
                  "
125140-1019,06-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,10. Floor,8 at Age,Central,10 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,,,Gas,Yes,Kayseri,Melikgazi,Germir,"
                    1.525.000 TRY
                  "
137456-21,02-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,8. Floor,10 at Age,Central Heating (Share Meter),8 Storey,Available,Not Furnished,2,,Second Hand,Owner,Condominium,100 TRY,No,"North, South, West",,Gas,,Kayseri,Kocasinan,Erciyesevler,"
                    1.875.000 TRY
                  "
135461-772,28-07-2023,For Sale,Apartment,Daire,3 + 1,135 m2,3. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,150 TRY,No,"North, East, West",5.000 TRY,Gas,Yes,Kayseri,Develi,Camiicedit,"
                    1.489.000 TRY
                  "
128795-452,05-08-2023,For Sale,Apartment,Daire,3 + 1,190 m2,Middle Floor,1 at Age,Central Heating (Share Meter),8 Storey,Available,Not Furnished,2,Stone Building,0,Empty,Floor Easement,,No,"North, South, East, West",4.000 TRY,Gas,,Kayseri,Melikgazi,Bahçelievler,"
                    1.975.000 TRY
                  "
132722-59,29-07-2023,For Sale,Apartment,,3 + 1,175 m2,5. Floor,1 at Age,Central Heating (Share Meter),8 Storey,Not Available,Not Furnished,2,,,Tenanted,Floor Easement,200 TRY,No,"South, West",,,,Kayseri,Kocasinan,Argıncık,"
                    1.800.000 TRY
                  "
131071-236,18-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,5. Floor,8 at Age,Combi Boiler,15 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,200 TRY,No,"South, West",5.500 TRY,Gas,Yes,Kayseri,Melikgazi,Şirintepe,"
                    1.430.000 TRY
                  "
129925-545,02-08-2023,For Sale,Apartment,Daire,3 + 1,148 m2,Top Floor,1 at Age,Central,17 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Tenanted,,,No,"South, West",,Gas,Yes,Kayseri,Kocasinan,Sahabiye,"
                    2.300.000 TRY
                  "
131390-164,19-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,14. Floor,6 at Age,Central Heating (Share Meter),14 Storey,Available,,2,Reinforced Concrete,Second Hand,Empty,Condominium,400 TRY,No,"North, South, East, West",7.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.625.000 TRY
                  "
130668-182,24-07-2023,For Sale,Apartment,,3 + 1,170 m2,7. Floor,New Property,Combi Boiler,7 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, South, West",,,,Kayseri,Kocasinan,Sancaktepe,"
                    1.800.000 TRY
                  "
124397-366,02-08-2023,For Sale,Apartment,,3 + 1,165 m2,5. Floor,31 at Age,Central,8 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,750 TRY,No,"North, East",,,,Kayseri,Kocasinan,Erciyesevler,"
                    1.840.000 TRY
                  "
